Designator,Mid X,Mid Y,Layer,Rotation
C139,86.9043mm,121.9800mm,Bottom,90
C140,83.0417mm,131.5152mm,Top,270
C141,83.0417mm,130.5500mm,Top,270
C142,93.8320mm,138.6840mm,Bottom,90
C143,86.6980mm,142.0531mm,Bottom,0
C146,87.7147mm,129.0641mm,Top,180
C147,83.0417mm,129.5890mm,Top,270
C148,86.7499mm,129.0651mm,Top,180
C149,87.3141mm,133.1200mm,Top,90
C150,79.1972mm,125.6643mm,Bottom,180
C152,87.3141mm,131.8200mm,Top,90
C153,87.3141mm,130.4991mm,Top,90
C154,82.6424mm,134.2657mm,Bottom,180
C155,85.7419mm,129.0650mm,Top,180
C156,89.9756mm,141.7432mm,Bottom,0
C157,85.4987mm,141.7737mm,Bottom,0
C158,88.7948mm,142.0531mm,Bottom,0
C159,69.2256mm,50.8819mm,Bottom,270
C160,69.2256mm,47.7917mm,Bottom,270
C161,82.0070mm,49.0185mm,Top,90
C162,76.7588mm,49.2693mm,Bottom,270
C163,76.7588mm,51.2513mm,Bottom,270
C164,76.7588mm,44.3148mm,Bottom,270
C165,104.9904mm,34.7218mm,Bottom,180
C166,104.6730mm,38.6434mm,Bottom,270
C167,105.4296mm,46.0455mm,Bottom,90
C168,82.1088mm,44.0802mm,Bottom,270
C169,82.1088mm,42.9653mm,Bottom,270
C170,82.1088mm,45.1444mm,Bottom,270
C171,82.1088mm,41.9011mm,Bottom,270
C172,82.1088mm,40.4560mm,Bottom,90
C173,82.1088mm,39.3918mm,Bottom,90
C174,63.6524mm,11.6078mm,Bottom,270
C175,67.3207mm,9.0170mm,Bottom,0
C176,63.6711mm,16.1293mm,Bottom,0
C177,65.2065mm,16.6368mm,Bottom,0
C178,61.6641mm,16.1289mm,Bottom,0
C179,60.0751mm,16.6369mm,Bottom,0
C180,23.1605mm,86.1060mm,Bottom,90
C181,23.1605mm,83.1407mm,Bottom,90
C182,15.6718mm,127.9398mm,Bottom,90
C183,70.7768mm,8.5269mm,Top,0
C184,74.6019mm,8.3317mm,Top,0
C185,80.4136mm,141.6289mm,Top,0
C186,89.2186mm,141.6289mm,Top,0
C187,84.8202mm,141.6289mm,Top,0
C188,93.6752mm,141.6289mm,Top,0
C189,71.5510mm,141.6289mm,Top,0
C190,75.9845mm,141.6289mm,Top,0
C191,67.0952mm,140.4926mm,Top,90
C192,97.2312mm,142.1892mm,Bottom,90
C193,28.2448mm,128.5494mm,Top,90
C194,32.5904mm,130.2432mm,Bottom,90
C195,100.4900mm,29.4640mm,Top,90
C196,100.4900mm,23.0144mm,Top,90
C197,88.0221mm,25.5413mm,Top,90
C198,76.7588mm,46.2964mm,Bottom,270
C199,53.6514mm,2.1750mm,Bottom,270
C203,46.1649mm,7.9110mm,Bottom,180
C204,52.2970mm,9.3347mm,Bottom,0
D1,6.4610mm,124.1450mm,Bottom,180
D2,2.9210mm,120.5230mm,Bottom,180
D3,4.5974mm,116.8870mm,Bottom,270
D4,4.5974mm,114.3870mm,Bottom,270
D5,105.6624mm,75.5968mm,Bottom,90
D6,91.2114mm,75.9428mm,Bottom,270
D7,100.4622mm,74.8074mm,Bottom,0
D8,100.4890mm,76.5608mm,Bottom,180
D9,92.3536mm,74.9369mm,Top,0
D10,92.3536mm,76.6961mm,Top,180
D11,92.5576mm,92.1004mm,Top,180
D12,92.6027mm,93.8859mm,Top,0
D13,99.7458mm,92.0750mm,Bottom,180
D14,99.7458mm,93.7970mm,Bottom,0
D15,97.1042mm,8.0518mm,Bottom,270
D16,4.6744mm,94.7166mm,Bottom,90
D17,57.5093mm,129.6616mm,Bottom,180
D18,32.7660mm,142.2908mm,Top,270
D19,26.0858mm,139.9287mm,Top,90
D20,50.6888mm,132.9431mm,Top,270
D21,50.6889mm,126.3432mm,Top,270
D22,61.7698mm,5.8094mm,Top,90
D23,63.4831mm,5.8094mm,Top,270
D24,11.6586mm,101.1256mm,Bottom,270
D25,11.6586mm,103.6320mm,Bottom,270
D26,96.2500mm,116.1182mm,Bottom,270
D27,90.2850mm,115.3240mm,Bottom,180
D28,96.2500mm,113.5782mm,Bottom,270
D29,90.2850mm,109.3220mm,Bottom,0
D30,90.2850mm,111.9335mm,Bottom,0
D31,96.2500mm,111.0382mm,Bottom,270
D32,96.2500mm,108.4982mm,Bottom,270
D33,90.2850mm,106.7778mm,Bottom,0
D34,105.2576mm,120.0912mm,Bottom,90
D35,105.2524mm,109.4758mm,Bottom,90
D36,105.2492mm,139.0650mm,Bottom,90
D37,105.2238mm,128.2700mm,Bottom,90
D38,96.2500mm,134.9124mm,Bottom,270
D39,90.2850mm,134.1250mm,Bottom,180
D40,96.2500mm,132.3724mm,Bottom,270
D41,90.2850mm,128.1545mm,Bottom,0
D42,90.2850mm,130.6812mm,Bottom,0
D43,96.2500mm,129.8324mm,Bottom,270
D44,96.2500mm,127.2924mm,Bottom,270
D45,90.2850mm,125.5974mm,Bottom,0
D46,5.7260mm,99.1084mm,Bottom,180
D47,5.7260mm,105.1659mm,Bottom,180
D48,104.6729mm,36.3728mm,Bottom,90
D49,102.5474mm,40.0916mm,Bottom,90
D50,105.4342mm,47.1137mm,Bottom,90
D51,102.6490mm,47.4185mm,Bottom,270
D53,104.6729mm,27.1780mm,Bottom,90
D54,104.6729mm,25.4423mm,Bottom,90
D55,90.2821mm,8.3317mm,Top,0
D56,4.5720mm,133.5151mm,Bottom,270
D57,72.9444mm,8.4307mm,Top,180
D58,4.6744mm,87.1220mm,Bottom,90
D59,4.6744mm,79.4766mm,Bottom,90
D60,4.6736mm,90.9066mm,Bottom,270
D61,76.8059mm,8.4814mm,Top,180
D62,4.6736mm,83.2866mm,Bottom,270
D63,4.6990mm,76.3270mm,Bottom,270
D64,104.6729mm,33.1978mm,Bottom,90
D65,48.7114mm,2.1750mm,Bottom,90
D66,50.9552mm,4.1750mm,Bottom,180
D68,49.8459mm,4.1750mm,Bottom,180
F1,96.2914mm,12.4339mm,Bottom,0
F2,32.9603mm,143.6879mm,Top,270
FB1,54.9690mm,127.6372mm,Bottom,90
FB2,27.2108mm,15.3983mm,Top,90
FB3,99.6365mm,24.9108mm,Top,90
FB4,99.6365mm,27.4828mm,Top,90
J1,61.4220mm,140.4262mm,Bottom,270
J2,103.4034mm,57.8104mm,Top,180
J3,3.0102mm,125.1820mm,Top,0
J4,2.6670mm,114.3870mm,Top,0
J5,97.7960mm,92.9800mm,Top,180
J6,97.6150mm,75.7260mm,Top,180
J7,102.5190mm,15.9760mm,Top,0
J8,45.9740mm,146.0328mm,Top,180
J9,26.0858mm,143.1290mm,Top,270
J10,31.1860mm,141.9570mm,Bottom,270
J11,16.9710mm,141.9570mm,Bottom,270
J12,8.0518mm,61.9708mm,Top,0
J13,8.0518mm,50.2945mm,Top,0
J14,8.0518mm,38.6181mm,Top,0
J15,8.0518mm,26.9418mm,Top,0
J16,8.0518mm,15.2654mm,Top,0
J17,5.0800mm,82.0166mm,Top,180
J18,25.1950mm,3.6412mm,Top,90
J19,62.3085mm,2.8226mm,Top,90
J20,9.3249mm,102.3821mm,Top,0
J21,98.7528mm,130.4674mm,Top,0
J22,106.7757mm,26.3144mm,Top,180
J23,2.7702mm,102.3821mm,Top,0
J24,98.7528mm,111.6732mm,Top,0
J25,103.1981mm,43.6916mm,Top,0
J26,82.3440mm,145.8722mm,Bottom,270
J27,106.7284mm,34.7509mm,Top,180
J28,2.7143mm,134.7660mm,Top,0
J29,51.0314mm,3.1750mm,Top,180
J1 Part-,54.0450mm,74.0344mm,Top,0
K1,16.1681mm,60.3246mm,Top,90
K2,16.1681mm,48.6482mm,Top,90
K3,16.1681mm,36.9719mm,Top,90
K4,16.1681mm,25.2956mm,Top,90
K5,16.1681mm,13.6191mm,Top,90
L1,90.6626mm,93.0148mm,Top,90
L2,101.5138mm,92.9430mm,Bottom,270
L3,102.0726mm,75.6571mm,Bottom,270
L4,90.6626mm,75.8742mm,Top,90
L5,40.4668mm,24.7857mm,Top,180
L6,80.7466mm,125.9634mm,Bottom,180
L7,70.6013mm,23.8760mm,Bottom,270
L8,86.2330mm,26.4160mm,Bottom,270
L9,80.7720mm,107.1626mm,Bottom,180
LED1,100.0042mm,3.3520mm,Top,180
LED2,97.0645mm,3.3526mm,Top,180
LED3,98.5343mm,3.3526mm,Top,180
LED4,51.1612mm,121.6839mm,Top,270
LED5,51.1611mm,120.2157mm,Top,270
LED6,95.5946mm,3.3526mm,Top,180
LED7,70.1793mm,125.9318mm,Top,90
LED8,92.7495mm,145.5583mm,Top,0
LED9,88.3318mm,145.5583mm,Top,0
LED10,83.9141mm,145.5583mm,Top,0
LED11,79.4964mm,145.5583mm,Top,0
LED12,75.0788mm,145.5583mm,Top,0
LED13,70.6610mm,145.5583mm,Top,0
Q1,65.9384mm,128.3970mm,Bottom,180
Q2,49.1642mm,116.2408mm,Bottom,0
Q3,49.1642mm,119.7179mm,Bottom,0
Q4,49.0626mm,134.9660mm,Bottom,0
Q5,49.0626mm,128.6964mm,Bottom,0
Q7,33.6447mm,16.7005mm,Bottom,180
Q8,85.4324mm,104.8283mm,Top,180
Q9,85.2682mm,117.6383mm,Top,0
Q10,85.4324mm,123.5329mm,Top,180
Q11,85.2682mm,136.4325mm,Top,0
Q14,70.3572mm,123.2968mm,Top,0
Q15,66.5552mm,143.2254mm,Top,0
Q16,63.7392mm,142.2754mm,Top,0
Q17,87.8986mm,22.8552mm,Top,0
R1,65.9559mm,126.6968mm,Bottom,270
R2,61.8366mm,126.2801mm,Bottom,270
R3,65.4767mm,130.2422mm,Bottom,270
R4,32.3058mm,24.6882mm,Top,0
R5,33.3057mm,24.6882mm,Top,0
R6,69.2884mm,133.1976mm,Bottom,0
R7,98.2811mm,52.2013mm,Bottom,90
R8,69.0372mm,82.5344mm,Bottom,90
R9,69.0372mm,83.5344mm,Bottom,90
R10,58.8010mm,11.9396mm,Top,90
R11,7.5724mm,121.7110mm,Top,270
R12,11.7836mm,99.8352mm,Bottom,270
R13,11.7836mm,104.9520mm,Bottom,270
R14,7.5724mm,123.1720mm,Top,270
R15,7.5724mm,125.8160mm,Top,270
R16,7.5818mm,124.4504mm,Top,270
R17,9.1595mm,122.4315mm,Top,0
R18,9.1527mm,125.1395mm,Top,180
R19,18.6216mm,119.4062mm,Top,90
R20,9.0801mm,119.3590mm,Top,90
R21,18.6216mm,118.0890mm,Top,90
R22,9.0801mm,118.0890mm,Top,90
R23,108.0347mm,74.0158mm,Bottom,270
R24,108.0347mm,74.9949mm,Bottom,270
R25,34.3055mm,24.6882mm,Top,0
R26,36.3053mm,24.6882mm,Top,0
R27,22.3996mm,93.9032mm,Bottom,90
R28,88.8391mm,74.4029mm,Bottom,90
R29,88.8391mm,75.3913mm,Bottom,90
R30,37.3052mm,24.6882mm,Top,0
R31,90.9204mm,72.5849mm,Top,0
R32,105.1984mm,132.7150mm,Bottom,270
R33,90.9204mm,70.4152mm,Top,180
R34,92.1334mm,84.5312mm,Bottom,90
R35,57.7708mm,8.1280mm,Top,0
R36,90.7873mm,80.9538mm,Top,0
R37,90.7873mm,78.8372mm,Top,180
R38,50.2412mm,7.1882mm,Top,0
R39,51.3737mm,7.1882mm,Top,0
R40,105.1984mm,122.0470mm,Bottom,90
R41,94.6117mm,140.5359mm,Bottom,90
R42,105.2075mm,113.8706mm,Bottom,270
R43,59.0423mm,8.1280mm,Top,180
R44,105.2075mm,103.2026mm,Bottom,90
R45,90.9204mm,89.4505mm,Top,0
R46,90.9204mm,87.3062mm,Top,180
R47,91.3460mm,101.8610mm,Bottom,90
R49,90.9204mm,97.8334mm,Top,0
R50,90.9204mm,95.6834mm,Top,180
R51,101.6855mm,3.1242mm,Bottom,0
R52,76.1781mm,26.1816mm,Bottom,0
R53,79.0193mm,20.0426mm,Bottom,270
R54,79.4839mm,25.7117mm,Bottom,0
R55,99.2264mm,3.1242mm,Bottom,180
R56,79.0193mm,18.9751mm,Bottom,270
R57,77.2221mm,26.1816mm,Bottom,180
R58,78.4352mm,25.7117mm,Bottom,180
R59,80.5941mm,23.6583mm,Bottom,270
R60,90.1193mm,27.5592mm,Bottom,180
R61,96.2234mm,19.5346mm,Bottom,270
R62,100.4570mm,3.1242mm,Bottom,180
R63,96.2234mm,18.4671mm,Bottom,270
R64,92.7647mm,25.6667mm,Bottom,180
